Location,Area,Price,New/Resale,House_Type,bhk,bath,Floor,Age,Gym,Lift,Car_Parking,Security,Play_area,Clubhouse,Indoor_Games,Gas,Jogging_Track,Swimming_Pool
Wadala,2200,56000000,0,Apartment,3,3,More than 5,,0,1,1,1,1,0,0,0,0,0
Parel,600,15500000,0,Apartment,1,1,More than 5,,0,1,0,1,1,0,0,0,0,0
Thane,640,8000000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,1,0,1,1
Thane,657,7200000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,0,1,1
Thane,550,7500000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,0,1,1
Thane,1309,18000000,1,Apartment,3,3,More than 5,,1,0,1,1,1,0,1,0,1,0
Kharghar,1850,16200000,0,Apartment,3,3,More than 5,,1,1,1,1,1,0,0,0,0,0
Wadala,680,15500000,0,Apartment,1,1,More than 5,,1,1,1,1,1,0,0,0,0,0
Wadala,880,15000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,0,0,0,0,0
Wadala,690,14000000,0,Apartment,1,1,More than 5,,1,1,1,1,1,0,0,0,0,0
Wadala,950,13500000,0,Independent House,1,1,1,,1,1,1,1,1,0,0,0,0,0
Haridas Nagar,925,23000000,0,Apartment,3,4,More than 5,,0,1,1,1,1,0,0,1,0,0
Kalwa,650,7500000,0,Apartment,1,1,More than 5,,1,0,1,1,1,0,0,0,0,0
PARSIK NAGAR,990,9000000,0,Apartment,2,2,More than 5,,1,0,1,1,1,0,0,0,0,0
Maharashtra Nagar,610,6500000,0,Apartment,1,1,More than 5,,0,0,0,0,0,0,0,0,0,0
Pant Nagar,806,8000000,0,Apartment,2,3,More than 5,,1,0,1,0,0,1,0,0,0,0
Patlipada,1050,19000000,0,Apartment,2,3,More than 5,,1,0,1,1,1,0,0,0,0,0
Andheri,655,11100000,0,Apartment,2,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Santacruz,1144,52500000,0,Apartment,3,4,More than 5,,0,0,1,1,1,0,0,0,0,0
mumbai,1200,9500000,0,Apartment,2,3,More than 5,,0,1,1,1,1,1,0,0,0,0
Belapur,1050,13500000,0,Apartment,2,3,More than 5,,0,1,1,1,1,1,0,0,0,0
Belapur,1335,18000000,0,Apartment,2,3,More than 5,,0,1,1,1,1,1,0,0,0,0
Kamothe,1150,12600000,0,Apartment,2,3,More than 5,,0,1,1,1,1,1,0,0,0,0
Nerul,2120,38000000,0,Apartment,3,3,More than 5,,0,1,1,1,1,1,0,0,0,0
Kharghar,1150,12600000,0,Apartment,2,3,More than 5,,0,1,1,1,1,1,0,0,0,0
Nerul,1950,25000000,0,Apartment,3,4,More than 5,,0,1,1,1,1,1,0,0,0,0
Seawoods,1150,17100000,0,Apartment,2,3,More than 5,,0,1,1,1,1,1,0,0,0,0
Seawoods,1100,17100000,0,Apartment,2,3,More than 5,,0,1,1,1,1,1,0,0,0,0
Parel,2670,92500000,0,Apartment,5,6,More than 5,,1,1,1,1,1,1,1,0,1,1
Thane,560,7500000,0,Apartment,1,1,More than 5,,1,1,0,1,1,0,0,0,0,1
Majiwada,1166,16500000,1,Independent House,2,2,2,,1,1,1,1,1,1,0,0,0,1
Kalwa,600,5500000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,0,0,0
Kalwa,580,5500000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,0,0,0
Kalwa,630,5600000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,0,0,0
Kalwa,620,6000000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,0,0,0
Kalwa,1056,9500000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,0,0,0,0
4 Bunglows,675,18000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,0,0,0,0,0
mumbai,730,28000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,0,0,0,0,0
mumbai,2000,70000000,0,Apartment,6,7,More than 5,,1,1,1,1,1,1,0,0,0,0
Andheri,650,17500000,0,Apartment,1,1,More than 5,,1,1,1,1,1,0,0,0,0,0
Airoli,400,6200000,0,Apartment,1,1,More than 5,,0,1,1,1,1,0,0,0,0,0
Airoli,1000,9500000,0,Apartment,2,1,More than 5,,0,1,1,1,1,1,0,0,0,1
Kolshet Road,675,12200000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
